"x","y","world_uv"
-72.75,83.75,1
-72.25,83.75,1
-71.75,83.75,1
-38.75,83.75,1
-38.25,83.75,1
-37.75,83.75,2
-37.25,83.75,2
-36.75,83.75,2
-36.25,83.75,3
-35.75,83.75,3
-35.25,83.75,2
-34.75,83.75,2
-34.25,83.75,2
-33.75,83.75,2
-33.25,83.75,2
-32.75,83.75,2
-32.25,83.75,1
-31.75,83.75,1
-31.25,83.75,1
-30.75,83.75,1
-30.25,83.75,1
-29.75,83.75,1
-29.25,83.75,1
-76.25,83.25,1
-75.75,83.25,1
-73.25,83.25,1
-72.75,83.25,2
-72.25,83.25,3
-71.75,83.25,2
-71.25,83.25,1
-39.25,83.25,1
-38.75,83.25,2
-38.25,83.25,3
-37.75,83.25,4
-37.25,83.25,4
-36.75,83.25,5
-36.25,83.25,6
-35.75,83.25,6
-35.25,83.25,5
-34.75,83.25,4
-34.25,83.25,4
-33.75,83.25,5
-33.25,83.25,5
-32.75,83.25,4
-32.25,83.25,3
-31.75,83.25,3
-31.25,83.25,2
-30.75,83.25,2
-30.25,83.25,2
-29.75,83.25,2
-29.25,83.25,2
-28.75,83.25,1
-28.25,83.25,1
-85.75,82.75,1
-85.25,82.75,1
-84.75,82.75,2
-84.25,82.75,2
-83.75,82.75,2
-83.25,82.75,1
-82.75,82.75,1
-82.25,82.75,1
-81.75,82.75,2
-81.25,82.75,3
-80.75,82.75,4
-80.25,82.75,4
-79.75,82.75,5
-79.25,82.75,7
-78.75,82.75,9
-78.25,82.75,9
-77.75,82.75,8
-77.25,82.75,6
-76.75,82.75,7
-76.25,82.75,8
-75.75,82.75,9
-75.25,82.75,9
-74.75,82.75,10
-74.25,82.75,9
-73.75,82.75,8
-73.25,82.75,8
-72.75,82.75,9
-72.25,82.75,9
-71.75,82.75,9
-71.25,82.75,9
-70.75,82.75,9
-70.25,82.75,7
-69.75,82.75,6
-69.25,82.75,5
-68.75,82.75,4
-68.25,82.75,4
-67.75,82.75,5
-67.25,82.75,5
-66.75,82.75,5
-66.25,82.75,4
-65.75,82.75,4
-65.25,82.75,3
-64.75,82.75,2
-64.25,82.75,2
-63.75,82.75,2
-63.25,82.75,1
-62.75,82.75,1
-62.25,82.75,1
-47.25,82.75,1
-46.75,82.75,1
-46.25,82.75,1
-45.75,82.75,1
-45.25,82.75,2
-44.75,82.75,3
-44.25,82.75,4
-43.75,82.75,4
-43.25,82.75,5
-42.75,82.75,6
-42.25,82.75,7
-41.75,82.75,6
-41.25,82.75,4
-40.75,82.75,4
-40.25,82.75,5
-39.75,82.75,5
-39.25,82.75,6
-38.75,82.75,7
-38.25,82.75,8
-37.75,82.75,8
-37.25,82.75,7
-36.75,82.75,7
-36.25,82.75,7
-35.75,82.75,7
-35.25,82.75,7
-34.75,82.75,6
-34.25,82.75,6
-33.75,82.75,6
-33.25,82.75,6
-32.75,82.75,6
-32.25,82.75,5
-31.75,82.75,5
-31.25,82.75,4
-30.75,82.75,4
-30.25,82.75,4
-29.75,82.75,4
-29.25,82.75,3
-28.75,82.75,3
-28.25,82.75,2
-27.75,82.75,2
-27.25,82.75,2
-26.75,82.75,2
-26.25,82.75,1
-25.75,82.75,1
-25.25,82.75,1
-88.75,82.25,1
-88.25,82.25,1
-87.75,82.25,1
-86.25,82.25,1
-85.75,82.25,2
-85.25,82.25,3
-84.75,82.25,4
-84.25,82.25,4
-83.75,82.25,4
-83.25,82.25,3
-82.75,82.25,3
-82.25,82.25,2
-81.75,82.25,4
-81.25,82.25,6
-80.75,82.25,8
-80.25,82.25,9
-79.75,82.25,10
-79.25,82.25,13
-78.75,82.25,17
-78.25,82.25,18
-77.75,82.25,15
-77.25,82.25,13
-76.75,82.25,14
-76.25,82.25,16
-75.75,82.25,17
-75.25,82.25,18
-74.75,82.25,20
-74.25,82.25,18
-73.75,82.25,17
-73.25,82.25,16
-72.75,82.25,15
-72.25,82.25,15
-71.75,82.25,16
-71.25,82.25,18
-70.75,82.25,17
-70.25,82.25,15
-69.75,82.25,12
-69.25,82.25,10
-68.75,82.25,8
-68.25,82.25,8
-67.75,82.25,9
-67.25,82.25,11
-66.75,82.25,10
-66.25,82.25,9
-65.75,82.25,8
-65.25,82.25,6
-64.75,82.25,5
-64.25,82.25,4
-63.75,82.25,4
-63.25,82.25,3
-62.75,82.25,2
-62.25,82.25,2
-61.75,82.25,1
-56.75,82.25,1
-56.25,82.25,1
-55.75,82.25,1
-51.25,82.25,1
-50.75,82.25,1
-50.25,82.25,1
-49.75,82.25,1
-49.25,82.25,1
-48.75,82.25,1
-48.25,82.25,1
-47.75,82.25,1
-47.25,82.25,2
-46.75,82.25,2
-46.25,82.25,2
-45.75,82.25,3
-45.25,82.25,5
-44.75,82.25,6
-44.25,82.25,7
-43.75,82.25,8
-43.25,82.25,10
-42.75,82.25,12
-42.25,82.25,14
-41.75,82.25,11
-41.25,82.25,9
-40.75,82.25,8
-40.25,82.25,9
-39.75,82.25,10
-39.25,82.25,11
-38.75,82.25,13
-38.25,82.25,13
-37.75,82.25,12
-37.25,82.25,11
-36.75,82.25,10
-36.25,82.25,9
-35.75,82.25,9
-35.25,82.25,9
-34.75,82.25,8
-34.25,82.25,8
-33.75,82.25,8
-33.25,82.25,8
-32.75,82.25,7
-32.25,82.25,7
-31.75,82.25,7
-31.25,82.25,7
-30.75,82.25,6
-30.25,82.25,6
-29.75,82.25,5
-29.25,82.25,4
-28.75,82.25,4
-28.25,82.25,4
-27.75,82.25,4
-27.25,82.25,4
-26.75,82.25,3
-26.25,82.25,2
-25.75,82.25,2
-25.25,82.25,1
-24.75,82.25,1
-24.25,82.25,1
-23.75,82.25,1
